500002,Sridhar,163,13/3/2022,Checking,Password,610.0
Transactions -:
Date-14/3/2020, Type- Deposit, Amount-20.0
Date-14/3/2020, Type- Deposit, Amount-20.0
Date-14/3/2020, Type- Deposit, Amount-20.0
Date-14/3/2020, Type- Deposit, Amount-20.0
Date-14/3/2020, Type- Withdraw, Amount-40.0
Date-14/3/2020, Type- Withdraw, Amount-40.0
Date-14/3/2020, Type- Withdraw, Amount-40.0
Date-14/3/2020, Type- Deposit, Amount-40.0
Date-14/3/2020, Type- transfer, Amount-30.0, To Account - Rohan
Date-14/3/2020, Type- transfer, Amount-30.0, To Account - Rohan

